Sample	File1	File2
CGnoNaC_1324	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080446/FP200000264TL_L01_509_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080446/FP200000264TL_L01_509_2.fq.gz
CGnoNaC_1329	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080447/FP200000264TL_L01_510_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080447/FP200000264TL_L01_510_2.fq.gz
CGnoNaC_1356	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080448/FP200000264TL_L01_511_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080448/FP200000264TL_L01_511_2.fq.gz
CTauBwC__759	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280144/FP100002290BR_L01_88_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280144/FP100002290BR_L01_88_2.fq.gz
CTauBwC__760	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280145/FP100002290BR_L01_89_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280145/FP100002290BR_L01_89_2.fq.gz
CTauBwC__761	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280146/FP100002290BR_L01_90_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280146/FP100002290BR_L01_90_2.fq.gz
CTauBwC__762	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280147/FP100001989BR_L01_91_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280147/FP100001989BR_L01_91_2.fq.gz
CTauBwC__763	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280148/FP100001989BR_L01_92_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280148/FP100001989BR_L01_92_2.fq.gz
CTauBwC__764	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280149/FP100001989BR_L01_93_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280149/FP100001989BR_L01_93_2.fq.gz
CTauBwC__765	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280150/FP100001989BR_L01_94_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280150/FP100001989BR_L01_94_2.fq.gz
