Sample	Genome	xPassed	xFailed
CTauBwN_7800	Goat	1.86	16.26
CTauNaN_2503	BlueWildebeestWithMT	1.87	20.05
CTauKeS__702	BlueWildebeestWithMT	1.88	18.97
CTauKeW__643	BlueWildebeestWithMT	1.71	18.61
CTauZw__1278	Goat	2.01	16.06
CTauZaN__914	Goat	1.66	12.95
CGnoNaC_2627	BlueWildebeestWithMT	1.64	16.49
CTauTzND_744	Goat	1.26	12.07
CTauBwC__765	Goat	1.35	12.51
CTauKeW__642	BlueWildebeestWithMT	1.50	19.01
CTauNaC_2639	Goat	1.62	11.59
CTauKeS__704	Goat	2.34	17.01
CTauTzND_750	Goat	1.45	11.31
CTauBwC__766	Goat	1.60	14.30
CTauBwN_2248	Goat	2.03	15.98
CTauBwN_1937	BlueWildebeestWithMT	1.56	18.52
CTauKeS__718	Goat	2.48	17.60
CTauKeS__714	Goat	1.76	13.30
CTauTzN_4498	Goat	1.83	14.42
CTauTzN_4276	Goat	2.51	16.59
CTauBwC__760	Goat	1.26	12.82
CTauBwN_2053	BlueWildebeestWithMT	1.53	19.07
CTauTzN_3171	BlueWildebeestWithMT	1.35	13.34
CTauKeS__702	Goat	2.25	16.17
CTauNaN_2495	BlueWildebeestWithMT	1.81	19.09
CTauTzND_741	Goat	1.50	12.97
CTauBwN_2252	Goat	2.17	16.62
CTauTzS_7107	BlueWildebeestWithMT	1.60	17.22
CTauTzN_4278	Goat	2.11	16.02
CTauBwC__765	BlueWildebeestWithMT	1.29	14.38
CTauKeS__706	Goat	1.86	14.74
CTauKeS__699	BlueWildebeestWithMT	1.52	19.59
CTauBwC__768	BlueWildebeestWithMT	1.25	15.18
CTauTzN_4498	BlueWildebeestWithMT	1.70	16.58
CGnoNaC_2627	Goat	1.83	14.30
CTauBwN_1973	BlueWildebeestWithMT	1.62	19.67
CTauKeS__712	BlueWildebeestWithMT	1.69	16.90
CTauKeS__706	BlueWildebeestWithMT	1.56	17.14
CTauKeW__644	BlueWildebeestWithMT	1.45	19.88
CTauKeS__711	Goat	1.78	14.88
CGnoNaC_2630	BlueWildebeestWithMT	2.15	19.77
CTauTzND_741	BlueWildebeestWithMT	1.45	14.82
CTauNaC_2636	Goat	1.99	15.51
CTauBwC__762	BlueWildebeestWithMT	1.50	14.07
CTauBwN_1937	Goat	1.98	15.81
CTauTzN_4496	Goat	1.85	13.66
CTauZw__1277	Goat	1.88	15.96
CTauZmC_3746	Goat	1.16	11.74
CTauKeW__646	BlueWildebeestWithMT	1.71	20.29
CTauTzND_751	Goat	1.32	10.76
CTauKeS__711	BlueWildebeestWithMT	1.59	17.22
CTauKeW__643	Goat	2.05	15.96
CTauKeW__646	Goat	2.15	17.33
CTauKeW__644	Goat	1.88	17.07
CTauNaN_2495	Goat	2.08	16.49
CTauBwN_2248	BlueWildebeestWithMT	1.57	18.82
CTauBwC__764	Goat	1.54	13.57
CTauNaC_2635	Goat	1.86	15.18
CTauKeW__641	BlueWildebeestWithMT	1.66	21.04
CTauKeS__709	Goat	1.67	14.14
CTauBwC__764	BlueWildebeestWithMT	1.42	15.66
CTauTzND_747	Goat	1.08	10.35
CGnoNaC_2633	BlueWildebeestWithMT	1.84	18.77
CTauZw__1278	BlueWildebeestWithMT	1.62	18.74
CTauBwN_2250	BlueWildebeestWithMT	1.69	18.99
CTauTzS_7106	Goat	1.36	12.44
CTauTzN_3174	BlueWildebeestWithMT	1.67	15.76
CTauTzN_2165	Goat	1.56	12.65
CTauTzN_3172	Goat	1.59	12.32
CTauKeS__710	Goat	1.89	14.98
CTauKeS__698	BlueWildebeestWithMT	1.72	17.25
CTauBwN_7800	BlueWildebeestWithMT	1.55	18.88
CTauBwN_2252	BlueWildebeestWithMT	1.68	19.61
CTauTzND_748	BlueWildebeestWithMT	1.33	12.83
CTauTzND_746	Goat	1.49	13.24
CTauTzN_4497	Goat	2.45	17.82
CGnoNaC__926	BlueWildebeestWithMT	1.94	17.24
CTauNaN_2489	BlueWildebeestWithMT	1.68	19.22
CTauKeW__638	Goat	1.79	12.68
CTauTzN_4496	BlueWildebeestWithMT	1.53	15.94
CTauTzS_3709	BlueWildebeestWithMT	1.96	20.24
CTauNaC__935	Goat	2.26	17.28
CGnoNaC_2634	BlueWildebeestWithMT	1.97	14.89
CTauNaN_2500	BlueWildebeestWithMT	1.67	19.54
CTauZmE_2542	BlueWildebeestWithMT	1.81	18.97
CTauKeW__648	Goat	2.03	17.27
CGnoNaC__953	BlueWildebeestWithMT	1.82	19.65
CTauBwC__760	BlueWildebeestWithMT	1.17	14.76
CTauTzN_4276	BlueWildebeestWithMT	2.20	19.39
CGnoNaC__962	BlueWildebeestWithMT	1.95	19.21
CTauTzN_4278	BlueWildebeestWithMT	1.71	18.70
CGnoNaC_1356	BlueWildebeestWithMT	1.89	19.51
CTauNaC__936	BlueWildebeestWithMT	1.58	19.56
CTauBwN_2250	Goat	2.18	16.12
CTauNaN_2503	Goat	2.41	17.02
CTauTzN_2165	BlueWildebeestWithMT	1.36	14.62
CTauBwN_2261	Goat	2.07	16.58
CTauTzN_3172	BlueWildebeestWithMT	1.32	14.30
CTauKeW__640	BlueWildebeestWithMT	1.46	15.35
CTauBwC__767	BlueWildebeestWithMT	1.39	13.30
CGnoNaC__954	Goat	2.29	17.43
CTauBwC__769	Goat	1.31	12.31
CTauTzN_4497	BlueWildebeestWithMT	2.03	20.85
CTauBwC__769	BlueWildebeestWithMT	1.25	14.20
CTauZmE_2552	Goat	1.82	15.17
CTauBwN_1973	Goat	2.14	16.75
CGnoNaC_2629	BlueWildebeestWithMT	1.73	14.52
CTauTzND_751	BlueWildebeestWithMT	1.42	12.20
CGnoNaC_1329	BlueWildebeestWithMT	1.81	18.36
CTauZw__1272	Goat	1.98	16.76
CTauTzN_4284	Goat	2.00	15.47
CGnoNaC_2628	Goat	1.27	11.48
CTauKeW__638	BlueWildebeestWithMT	1.50	14.88
CTauNaC__921	Goat	2.21	16.48
CTauNaC__940	Goat	2.02	16.39
CTauTzN_8871	Goat	1.67	13.82
CTauBwC__759	BlueWildebeestWithMT	1.20	14.47
CTauBwC__761	BlueWildebeestWithMT	1.37	15.78
CTauNaN_2500	Goat	2.19	16.55
CTauBwC__763	BlueWildebeestWithMT	1.43	16.36
CTauZmC_3745	Goat	2.44	17.03
CTauZw__1274	Goat	1.49	11.72
CTauTzS_8872	BlueWildebeestWithMT	1.72	17.17
CTauBwN_2261	BlueWildebeestWithMT	1.61	19.35
CTauTzND_742	Goat	1.41	12.42
CTauNaN_2489	Goat	2.00	16.61
CTauTzN_8202	Goat	1.34	11.31
CGnoNaC_1324	Goat	2.22	16.69
CTauKeS__710	BlueWildebeestWithMT	1.62	17.51
CTauZmE_2552	BlueWildebeestWithMT	1.63	17.46
CTauKeS__705	BlueWildebeestWithMT	1.91	20.05
CTauBwN_2245	Goat	2.10	16.83
CTauKeS__714	BlueWildebeestWithMT	1.63	15.38
CTauZw__1277	BlueWildebeestWithMT	1.55	18.62
CTauKeW__649	BlueWildebeestWithMT	1.73	20.22
CTauZmC_3746	BlueWildebeestWithMT	1.18	13.30
CTauTzN_3174	Goat	1.85	13.57
CTauZw__1276	BlueWildebeestWithMT	1.42	18.67
CTauKeS__712	Goat	2.01	14.45
CTauTzN_4502	Goat	1.98	13.90
CTauTzND_738	Goat	1.66	11.25
CGnoNaC_2634	Goat	1.95	13.01
CTauNaC__935	BlueWildebeestWithMT	1.75	20.25
CTauZw__1273	Goat	2.01	14.85
CTauTzN_5188	Goat	2.21	15.51
CTauZmC_3747	Goat	1.55	12.86
CTauKeS__717	BlueWildebeestWithMT	1.46	15.78
CTauKeS__716	BlueWildebeestWithMT	2.53	19.27
CTauBwN_8010	Goat	2.50	16.80
CTauTzND_738	BlueWildebeestWithMT	1.37	13.24
CTauTzND_743	Goat	1.49	12.62
CTauZw__1276	Goat	1.82	15.98
CTauKeS__707	Goat	1.33	12.83
CTauTzN_8202	BlueWildebeestWithMT	1.33	12.88
CTauNaN_2496	Goat	1.66	15.10
CTauTzN_3171	Goat	1.67	11.38
CTauTzN_4275	BlueWildebeestWithMT	1.58	16.87
CTauTzN_4499	Goat	1.81	12.75
CTauTzS_3709	Goat	2.41	17.27
CTauTzN_4284	BlueWildebeestWithMT	1.57	18.14
CTauTzS_7106	BlueWildebeestWithMT	1.27	14.22
CTauTzND_746	BlueWildebeestWithMT	1.42	15.10
CTauNaC_1120	BlueWildebeestWithMT	1.71	21.34
CTauKeW__645	BlueWildebeestWithMT	1.43	19.17
CTauKeS__718	BlueWildebeestWithMT	1.96	20.76
CTauNaC__921	BlueWildebeestWithMT	1.72	19.42
CTauTzS_3711	BlueWildebeestWithMT	1.82	19.60
CTauKeS__713	BlueWildebeestWithMT	1.74	16.92
CTauZmC_3748	BlueWildebeestWithMT	1.42	17.00
CTauBwC__768	Goat	1.38	13.13
CTauTzN_2199	BlueWildebeestWithMT	1.48	15.65
CTauBwC__761	Goat	1.51	13.68
CTauTzN_4499	BlueWildebeestWithMT	1.39	15.02
CTauKeW__645	Goat	1.91	16.41
CTauZmE_2542	Goat	2.21	16.24
CGnoNaC__926	Goat	2.17	14.86
CTauTzND_747	BlueWildebeestWithMT	1.18	11.69
CTauKeS__705	Goat	2.32	17.08
CTauBwN_2053	Goat	1.94	16.31
CTauTzND_748	Goat	1.25	11.31
CTauZw__1273	BlueWildebeestWithMT	1.56	17.43
CTauZmE_3749	BlueWildebeestWithMT	1.48	15.71
CTauBwN_2245	BlueWildebeestWithMT	1.52	19.94
CGnoNaC_1329	Goat	2.22	15.70
CTauTzND_743	BlueWildebeestWithMT	1.41	14.44
CTauZw__1279	BlueWildebeestWithMT	1.57	19.64
CTauNaC_1120	Goat	2.35	18.17
CTauKeS__699	Goat	2.05	16.64
CTauTzND_740	BlueWildebeestWithMT	1.25	14.29
CTauKeS__715	Goat	2.43	15.09
CTauZw__1274	BlueWildebeestWithMT	1.13	13.72
CTauKeS__717	Goat	1.55	13.71
CTauNaC__972	Goat	2.31	17.53
CTauTzND_749	Goat	1.33	12.52
CTauTzND_745	Goat	1.13	11.20
CTauZaN__914	BlueWildebeestWithMT	1.55	14.84
CTauBwC__766	BlueWildebeestWithMT	1.42	16.54
CTauZmE_3749	Goat	1.66	13.65
CGnoNaC_2629	Goat	1.83	12.60
CTauKeS__707	BlueWildebeestWithMT	1.27	14.75
CTauZw__1272	BlueWildebeestWithMT	1.56	19.60
CTauZmC_3748	Goat	1.78	14.66
CTauKeS__698	Goat	1.98	14.81
CTauTzND_749	BlueWildebeestWithMT	1.33	14.27
CTauTzN_4279	BlueWildebeestWithMT	2.06	20.23
CTauNaN_2506	BlueWildebeestWithMT	1.69	19.75
