Sample	Genome	xPassed	xFailed
CTauTzS_8872	Goat	1.85	14.86
CTauTzN_4285	Goat	1.73	15.73
CTauZmC_3745	BlueWildebeestWithMT	1.97	19.94
CTauTzN_8870	BlueWildebeestWithMT	1.48	15.69
CGnoNaC_2630	Goat	2.48	16.99
CTauBwC__759	Goat	1.45	12.39
CTauNaN_2506	Goat	2.23	16.75
CTauBwN_8010	BlueWildebeestWithMT	2.06	19.68
CTauTzND_740	Goat	1.30	12.56
CGnoNaC__954	BlueWildebeestWithMT	1.98	20.25
CTauTzN_4279	Goat	2.49	17.28
CTauKeW__642	Goat	1.88	16.30
CTauBwC__762	Goat	1.48	12.23
CTauNaC_2638	Goat	1.89	16.29
CTauKeW__641	Goat	2.13	18.00
CTauKeW__648	BlueWildebeestWithMT	1.50	20.24
CTauNaC_2639	BlueWildebeestWithMT	1.51	13.34
CTauKeS__701	Goat	2.29	16.84
CTauNaC_2638	BlueWildebeestWithMT	1.62	18.86
CTauTzN_4501	BlueWildebeestWithMT	2.27	21.09
CTauTzND_744	BlueWildebeestWithMT	1.26	13.77
CTauTzN_8870	Goat	1.72	13.56
CTauNaC__972	BlueWildebeestWithMT	1.75	20.58
CTauKeS__701	BlueWildebeestWithMT	1.84	19.71
CTauTzN_2199	Goat	1.81	13.37
CTauTzN_4275	Goat	1.83	14.54
CTauKeW__640	Goat	1.75	13.07
CTauTzS_3711	Goat	2.25	16.75
CTauTzN_5188	BlueWildebeestWithMT	1.93	18.05
CTauTzN_4501	Goat	2.72	17.97
CTauKeS__709	BlueWildebeestWithMT	1.49	16.34
CTauKeW__649	Goat	2.24	17.22
CTauTzS_7107	Goat	2.00	14.73
CTauZw__1279	Goat	2.02	16.83
CTauKeS__715	BlueWildebeestWithMT	2.20	17.49
CTauNaC__936	Goat	2.12	16.67
CGnoNaC_1356	Goat	2.12	16.89
CTauTzND_750	BlueWildebeestWithMT	1.51	12.87
CTauTzS_7105	BlueWildebeestWithMT	1.44	15.26
CTauTzN_8871	BlueWildebeestWithMT	1.48	15.92
CTauKeS__700	Goat	2.65	15.04
CGnoNaC_1324	BlueWildebeestWithMT	1.86	19.43
CTauKeS__716	Goat	2.90	16.34
CTauBwC__767	Goat	1.33	11.58
CTauKeS__704	BlueWildebeestWithMT	1.90	19.90
CTauTzN_4285	BlueWildebeestWithMT	1.58	18.09
CTauTzND_742	BlueWildebeestWithMT	1.38	14.13
CTauBwC__763	Goat	1.57	14.17
CGnoNaC_2632	BlueWildebeestWithMT	2.13	19.32
CTauTzS_7105	Goat	1.65	13.20
CTauNaC_2635	BlueWildebeestWithMT	1.65	17.57
CGnoNaC_2633	Goat	2.15	16.15
CGnoNaC__953	Goat	2.15	16.93
CTauTzN_4502	BlueWildebeestWithMT	1.72	16.16
CGnoNaC__962	Goat	2.27	16.51
CTauNaC_2636	BlueWildebeestWithMT	1.68	18.02
CGnoNaC_2628	BlueWildebeestWithMT	1.25	12.99
CTauKeS__713	Goat	2.09	14.45
CGnoNaC_2632	Goat	2.45	16.60
CTauTzND_745	BlueWildebeestWithMT	1.16	12.70
CTauNaC__940	BlueWildebeestWithMT	1.65	19.07
CTauKeS__700	BlueWildebeestWithMT	2.48	17.45
CTauZmC_3747	BlueWildebeestWithMT	1.45	14.75
CTauNaN_2496	BlueWildebeestWithMT	1.61	17.26
